ct;descripcio;tram;tensio;num_linia;cable;seccio;intensitat_admisible;reactancia;resistencia;material;tipus;longitud_cad;geom;node_start;node_end
CT-0975;E.T. CAN DRAPER-2;170201;400;9;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.200035;LINESTRING (438839.29870000004 4612727.018300001, 438839.4859 4612727.0888);57740;57739
CT-0975;E.T. CAN DRAPER-2;173167;400;9;LGA;17.0;20.0;0.00000000;;Cu;Indefinit;9.941282;LINESTRING (438831.1378 4612722.2723, 438833.16630000004 4612723.601600001, 438839.0331 4612725.7937, 438839.29870000004 4612727.018300001);57765;57740
CT-0975;E.T. CAN DRAPER-2;170203;400;9;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.549942;LINESTRING (438839.29870000004 4612727.018300001, 438839.1755 4612727.3459, 438839.3626 4612727.4164);57740;57736
CT-0975;E.T. CAN DRAPER-2;170206;400;9;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.549909;LINESTRING (438825.9258 4612763.0421, 438825.8054 4612763.3707, 438825.9931 4612763.4396);57596;57594
CT-0975;E.T. CAN DRAPER-2;171641;400;13;LGA;17.0;20.0;0.00000000;;Cu;Indefinit;9.052012;LINESTRING (438797.1473 4612658.4815, 438797.6574 4612658.820900001, 438797.1511 4612659.214000001, 438800.36950000003 4612663.6469, 438801.59140000003 4612665.3192, 438801.79360000003 4612665.1736);58159;58117
CT-0975;E.T. CAN DRAPER-2;170215;400;13;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.550045;LINESTRING (438797.1473 4612658.4815, 438796.94090000005 4612658.1988, 438796.7794 4612658.3168);58159;58173
CT-0975;E.T. CAN DRAPER-2;170214;400;13;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.550066;LINESTRING (438797.1473 4612658.4815, 438797.35370000004 4612658.7642, 438797.19210000004 4612658.8821);58159;58152
CT-0975;E.T. CAN DRAPER-2;170190;400;13;RV 3x240+150;240.0;344.0;0.18000000;0.16000000;Al;Subterrani;25.267346;LINESTRING (438798.6243 4612678.4578, 438798.8702 4612678.4578, 438798.8702 4612678.3976, 438799.18690000003 4612678.3976, 438800.1409 4612677.547300001, 438800.16140000004 4612677.5273, 438800.18120000005 4612677.5066, 438800.2003 4612677.4852, 438800.2186 4612677.4632, 438800.23610000004 4612677.4405000005, 438800.2528 4612677.4172, 438800.2687 4612677.3934, 438800.28380000003 4612677.3691, 438800.298 4612677.3442, 438800.3114 4612677.3188000005, 438800.3238 4612677.2930000005, 438800.33540000004 4612677.2668, 438800.346 4612677.2402, 438800.3557 4612677.2133, 438800.3644 4612677.186000001, 438800.37220000004 4612677.1584, 438800.3791 4612677.1306, 438800.3849 4612677.1026, 438800.3898 4612677.0743, 438800.3937 4612677.046, 438800.39660000004 4612677.0175, 438800.3985 4612676.9889, 438800.3995 4612676.960200001, 438800.3994 4612676.9316, 438800.3983 4612676.903, 438800.3962 4612676.8744, 438800.39320000005 4612676.8459, 438800.38910000003 4612676.817600001, 438800.3841 4612676.7894, 438800.37810000003 4612676.7614, 438800.37110000005 4612676.7336, 438800.3632 4612676.706, 438800.3543 4612676.6788, 438800.3445 4612676.6519, 438800.3337 4612676.6254, 438800.32200000004 4612676.5992, 438800.3094 4612676.5735, 438800.29600000003 4612676.5482, 438800.28160000005 4612676.5234, 438800.2664 4612676.499100001, 438800.2504 4612676.4754, 438800.23360000004 4612676.4522, 438800.2159 4612676.4296, 438800.1975 4612676.4077, 438800.1783 4612676.3864, 438800.1584 4612676.3658, 438800.1378 4612676.3459, 438800.1166 4612676.3267, 438800.0946 4612676.308300001, 438799.8546 4612676.0251, 438796.53990000003 4612672.0867, 438793.37 4612668.031, 438792.4328 4612666.7516, 438792.3681 4612666.659700001, 438792.3628 4612666.6521000005, 438792.3579 4612666.6442, 438792.3532 4612666.6362000005, 438792.34890000004 4612666.6280000005, 438792.3448 4612666.619700001, 438792.341 4612666.6112, 438792.3375 4612666.6026, 438792.33430000005 4612666.593900001, 438792.3314 4612666.5851, 438792.3288 4612666.5762, 438792.3265 4612666.5672, 438792.3246 4612666.5581, 438792.3229 4612666.549000001, 438792.3216 4612666.5398, 438792.32060000004 4612666.5306, 438792.3199 4612666.5214, 438792.31960000005 4612666.5121, 438792.31960000005 4612666.5028, 438792.3199 4612666.4935, 438792.32050000003 4612666.484300001, 438792.3214 4612666.475000001, 438792.3227 4612666.4658, 438792.32430000004 4612666.4567, 438792.3262 4612666.447600001, 438792.3284 4612666.4386, 438792.3309 4612666.4297, 438792.3338 4612666.4209, 438792.3369 4612666.4121, 438792.34040000004 4612666.4035, 438792.34410000005 4612666.3950000005, 438792.3482 4612666.386700001, 438792.35250000004 4612666.378500001, 438795.37850000005 4612659.9479, 438795.85240000003 4612659.5783, 438796.9478 4612658.7904, 438796.8975 4612658.6680000005, 438796.9857 4612658.599400001);58035;58155
CT-0975;E.T. CAN DRAPER-2;170213;400;13;EMBARRAT_BT;17.0;20.0;0.07400000;0.09700000;Al;Embarrat;0.200037;LINESTRING (438797.1473 4612658.4815, 438796.9857 4612658.599400001);58159;58155
CT-0975;E.T. CAN DRAPER-2;181037;400;11;LGA;17.0;20.0;0.00000000;;Cu;Indefinit;2.711043;LINESTRING (438835.7326 4612766.8367, 438838.2936 4612767.7261);57562;122996
